,2012,2013,2014,2015,2016,2017
3905033791,0,0,0,0,0,0
3905055266,0,0,0,0,0,0
3906253398,0,0,0,0,0,0
3906267810,0,0,0,0,0,0
3906320189,0,0,0,0,0,0
3907062340,7,2,0,0,0,0
3908018946,9,13,2,3,2,2
3908026270,0,0,0,83,45,20
3908027059,0,0,0,0,0,0
3908031986,0,0,0,0,0,0
3908603898,0,0,0,0,0,0
3912502211,0,0,0,0,0,0
3913010220,0,0,0,0,0,0
3917014225,0,0,0,0,0,0
3917021790,0,0,0,0,0,0
3917503770,0,0,0,0,0,0
4025415519,0,0,0,0,7,1
4027057001,0,0,0,0,0,0
4028001072,0,0,0,1,0,0
4100000530,0,0,0,0,2,0
4101088305,0,0,0,0,0,0
4101093866,17,60,21,31,11,2
4108002191,0,0,0,0,0,0
4108003188,0,0,0,0,0,0
4109002780,0,0,0,0,0,0
4109003920,0,0,0,0,0,0
4205025388,18,40,24,42,63,35
4205044479,0,0,0,0,0,0
4213006036,39,19,20,14,25,1
4223055709,0,0,0,0,1,0
4329007695,2,6,0,25,48,53
4345046532,0,0,0,0,0,0
4345116758,0,0,0,29,23,3
4401045990,0,0,0,0,0,0
4401061689,0,0,0,0,0,0
4401066172,0,0,0,0,0,0
4401070210,0,2,2,0,0,0
4401112870,0,0,0,0,0,0
4401125477,0,0,0,0,0,0
4402001065,0,1,5,3,6,1
4403000875,1,0,1,6,13,1
4414010191,0,0,1,0,0,0
4510020763,0,0,0,0,0,0
4632001454,0,3,6,28,24,0
4632024980,0,0,0,0,0,0
4632033745,0,0,0,0,0,0
4824019744,797,733,593,436,176,71
4825006113,0,0,0,0,0,0
4825032480,0,0,0,0,0,0
4826058690,0,0,0,0,0,0
4826082967,102,261,131,0,0,0
4900004453,11,9,7,20,38,2
4909088627,1,0,2,17,28,4
4909111900,12,5,22,7,18,3
4909907192,0,0,0,0,0,0
4909911368,0,0,0,1,2,0
5001040774,0,0,0,0,0,0
5007072613,0,0,0,0,0,0
5018122305,0,0,0,0,0,0
5024152026,0,0,0,0,0,0
5027026407,2,0,0,2,1,1
5027083476,42,337,401,2015,3066,704
5027123513,43,32,3,16,2,0
5028000105,17,24,6,2,21,0
5029094120,0,0,0,0,0,0
5029159321,0,0,0,0,0,0
5030054316,0,0,0,0,0,0
5030055292,0,0,0,0,0,0
5030062194,0,0,0,0,0,0
5031040002,0,0,0,0,0,0
5032050116,0,0,0,0,0,0
5038051966,0,0,0,0,0,0
5038059605,0,0,0,0,0,0
5042001439,3,6,2,4,2,0
5044019537,12,11,0,29,6,0
5046001101,6,17,5,30,33,10
5048092785,0,0,0,0,0,0
5050029646,32,3,12,40,24,5
5056004310,0,0,0,0,0,0
5104002234,1,0,0,2,4,1
5108300030,2,2,2,8,6,0
5190109852,0,0,0,0,0,0
5191431170,0,2,0,9,8,2
5221001428,0,0,0,0,0,0
5222011235,2,0,0,1,0,0
5227000597,0,0,0,0,1,1
5243001742,7,11,1,39,33,10
5243019316,4,2,7,3,3,2
5246035556,19,32,27,0,0,0
5247004695,2,0,2,78,146,44
5247016299,0,0,0,0,0,0
5248004056,19,15,12,7,4,0
5249051161,0,0,0,0,0,0
5251008501,2,3,0,44,55,10
5252000375,3,10,8,20,20,7
5252000470,5,10,4,20,40,7
5256044670,0,0,0,0,0,0
5256085362,0,0,0,0,0,0
5257015978,0,0,0,2,2,0
5257093119,1,0,0,0,0,0
5257104346,0,0,0,0,0,0
5258000011,20,24,21,47,76,19
5259034800,0,0,0,0,0,0
5259072107,0,0,0,0,0,0
5260105371,0,0,0,0,0,0
5260133146,1,1,3,4,7,3
5260136595,267,10,1,3,5,1
5260902190,4,2,1,1,2,1
5261054970,0,0,0,0,2,0
5261056600,19,36,7,28,17,1
5261066245,0,0,0,4,8,1
5261069630,0,0,0,0,0,0
5261087421,0,134,1352,1323,1263,7
5262017723,2,4,2,2,1,4
5262141946,0,0,0,0,0,0
5262157978,1,0,0,0,0,0
5262247692,0,0,0,0,0,0
5263006629,2,7,1,11,26,6
5321080399,0,0,0,0,0,0
5321089183,0,0,0,0,0,0
5401103595,2,3,1,8,6,0
5402468510,0,0,0,15,1,3
5405162714,124,156,76,95,93,10
5405427216,0,0,0,0,0,0
5405433812,0,0,0,0,0,0
5405475756,0,0,0,1,1,0
5405500748,0,0,0,1,1,0
5406137478,3,6,1,4,14,3
5406328715,0,0,0,0,0,0
5406548630,0,0,0,0,0,0
5407127899,41,35,40,50,7,0
5407248082,0,0,0,0,0,0
5408151534,1,1,0,9,32,2
5410112902,18,3,1,0,0,0
5427107474,0,0,0,12,4,0
5427107812,0,4,1,1,1,0
5427107820,0,3,0,0,0,0
5433157829,0,0,0,0,0,0
5443115916,0,2,1,4,2,0
5503068893,0,0,0,0,0,0
5507061970,128,225,53,150,55,0
5528011313,0,0,1,0,0,0
5609026406,24,9,7,38,32,2
5609029975,4,3,2,17,26,2
5609032311,3,1,0,8,1,0
5609062884,0,1,0,3,1,0
5609063817,4,7,4,12,10,1
5609088970,0,0,0,0,0,0
5609091170,0,0,0,0,0,0
5610051862,8,6,4,5,4,1
5610056740,3,8,1,43,42,8
5610065008,4,1,3,15,10,3
5610074267,0,0,0,0,0,0
5610080574,4,5,10,8,7,0
5610115555,0,0,0,0,0,0
5610125673,0,0,0,0,0,0
5612002437,1,3,6,11,21,2
5638001999,12,4,0,1,4,0
5751005940,27,9,9,9,6,2
5752002910,0,0,0,10,4,1
5752020676,0,0,0,0,1,0
5752030096,0,0,0,0,0,0
5836900162,0,2,3,17,18,2
5837018556,0,0,0,0,0,0
5837024447,0,0,0,0,0,0
5902709161,0,0,0,0,0,0
5903004541,9,7,8,16,18,7
5906009273,0,0,0,9,18,10
5911045238,0,0,0,0,0,0
5911066005,0,0,0,2,0,0
6025017624,0,0,0,3,3,1
6025022832,0,0,0,0,0,0
6025035856,45,48,66,21,1,0
6027006466,0,0,0,0,0,0
6027042256,0,0,0,0,0,0
6027073906,0,0,0,0,0,0
6027100148,0,0,0,0,0,0
6102024650,0,0,0,0,0,0
6102032852,0,0,0,0,0,0
6111007299,0,1,0,0,0,0
